,neighborhood_code,neighborhood_group,neighborhood
66,1029.0,9012.0,"IMPERIAL TRACE SEC 1, 3, 5"
67,1029.01,9012.0,"IMPERIAL TRACE SEC 2,4,6"
68,103.0,4073.0,STEEPLE CHASE SEC. 4
69,103.01,4080.0,THE ENCLAVE AT CASTLEBRIDGE & R/P
70,1030.0,9033.0,VILLAS DAYALA
71,1031.0,9034.0,HOUSTON PEARL
72,1032.0,9009.0,"WILLOW SPRINGS SEC 1,4"
73,1032.01,9009.0,WILLOW SPRINGS SEC 2
74,1032.02,9009.0,"WILLOW SPRINGS SEC 3,5,6,7,8 & 6 PAR R/P"
75,1032.1,9009.0,"WESTVIEW LANDING SEC 1,2,3"
76,1033.0,9037.0,"MOUNT ROYAL VILLAGE SEC 1,2"
77,1033.01,9037.0,MOUNT ROYAL VILLAGE SEC 3
78,1033.02,9037.0,MOUNT ROYAL VILLAGE SEC 4
79,1033.03,9037.0,MOUNT ROYAL VILLAGE SEC 5
80,1034.0,9038.0,BAMMEL TRACE SEC 1
81,1035.0,9039.0,VILLAS OF ESTELLA
82,1036.0,9040.0,WATERSIDE COURT
83,1037.0,9040.0,"ARBOR TRAILS SEC 1, 2,3"
84,1038.0,9037.0,ROYAL CREST
85,1039.0,9042.0,NUECES PARK PLACE SEC 1
86,104.0,4135.0,MIXED RESIDENTIAL
87,105.0,4103.0,MIXED RESIDENTIAL
88,106.0,4012.0,CYPRESS PLACE
89,106.09,4132.0,CHAMPIONS VILLAGE T/H'S
90,106.11,4144.0,THE WILLOWBROOK CONDO
91,107.0,4007.0,CHAMPIONS PARK
92,107.01,4071.0,CHAMPIONS PARK NORTH
93,107.02,4094.0,CHAMPIONS PARK NORTH # 5
94,107.03,4094.0,"CHAMPIONS PARK NORTH 4 PH 1,2"
95,107.04,4094.0,CHAMPIONS CENTRE ESTATES
96,107.06,4071.0,CHAMPIONS FAIRWAY ESTATES
97,107.07,4079.0,CHAMPIONS CENTRE ESTATES 2
98,107.08,4079.0,CHAMPIONS CENTRE MIRAGE 1
99,107.09,4079.0,PINNACLE AT CHAMPIONS CENTRE
100,108.01,4078.0,CHAMPION PLACE
101,108.02,4079.0,ESTS AT CHAMPIONS PARK NORTH
102,108.03,4079.0,BARRINGTON WOODS 1
103,109.0,4008.0,CHAMPIONS NORTHWEST
104,109.02,4071.0,CHAMPIONS RACQ CLUB #2 YB>89
105,11.0,4023.0,STONE CREEK SEC. 1-4
106,11.03,4118.0,VILLAGES OF LANGHAM CREEK 1 AMND & 4-7
107,11.04,4028.0,VILLAGES OF LANGHAM CREEK 1
108,11.05,4028.0,"CROSSING @ STONE CREEK SEC 1,3,4"
109,11.06,4028.0,WESTMINISTER VILLAGE SEC 3
110,11.07,4028.0,"VILLAGES OF LANGHAM CREEK EST. SEC 1, 2"
111,11.08,4118.0,NORTH ENCLAVE @ WESTMINSTER VILLAGE
112,110.0,4095.0,CHAMPIONS CELEBRITY COLONY
113,111.0,4095.0,KINGSROW
114,112.0,4008.0,CHAMPIONS NORTH
115,113.0,4058.0,CHAMPIONS WEST
116,1132.01,1901.0,"SHADOWLAKE ESTATES #1,2"
117,1133.0,1901.0,URBAN ACRES
118,1135.0,1901.0,M/R
119,1136.0,1901.0,HOUSTON SUBURBAN HGTS
120,1137.0,1901.0,MOUNT HOUSTON
121,1137.01,1901.0,MOUNT HOUSTON/EDGEWORTH PLACE
122,1138.01,1901.0,SHERIDAN OAKS
123,1139.0,1901.0,FOREST ACRES
124,114.0,4008.0,CHAMPIONS SOUTH
125,114.01,4010.0,CHAMPIONS ARBOR
126,1140.0,1901.0,DYERSDALE
127,1142.0,1904.0,"VERDE FOREST #1,2/OTHERS"
128,1142.01,1904.0,FOREST GREEN
129,1143.0,1904.0,"ROYAL GELN PT.#1,2"
130,1144.0,1904.0,RIVER TRAIL;RIVERWOOD/OTHERS
131,1145.0,1901.0,M/R
132,1148.0,1901.0,CALGARY WOODS
133,1149.0,1901.0,FAIR OAKS
134,115.0,4095.0,CHAMPIONS COLONY SEC. 2
135,1150.0,1901.0,HOUSTON SUBN HEIGHTS(PALMLEA)
136,1153.0,1901.0,"N. SHADYDALE,WARWIER BRISTOL"
137,1153.01,1902.0,FONTAINE PLACE SEC 2-4
138,1153.02,1902.0,NORTHWOOD MANOR/MT HOUSTON
139,1155.0,1902.0,SCENIC WOODS PLAZA/OTHERS
140,1155.01,1902.0,SCENIC WOODS PLAZA
141,1155.02,1907.0,SERENITY MEADOWS
142,1156.0,1901.0,ARMSTRONG ACRES (5204)
143,1157.0,1902.0,FONTAINE #4-7 (5205)/OTHERS
144,1157.01,1902.0,FONTAINE PL SEC 5-7
145,1158.0,1902.0,SCENIC WOODS PT #1 (5206)
146,1159.0,1901.0,TIDWELL TIMBERS (5207)/OTHERS
147,116.0,4093.0,CHAMPIONS EAST
148,116.01,4079.0,CHAMPIONS BEND ESTATES
149,1160.0,1901.0,"BUCKINGHAM PL.#4,6/M/R (5208)"
150,1160.01,1901.0,BARCLAY PLACE
151,1160.02,1901.0,GLEN MANOR
152,1160.03,1901.0,WEYBURN PLACE
153,1161.0,1908.0,PARK NORTH #2 R/P (5211)
154,1162.0,1904.0,GLENWOOD FST #1-6 (5212)/OTHER
155,1163.0,1903.0,"ROANE OAKC,CLAIMT PL LARKSTONE"
156,1163.01,1903.0,NEW HAVEN/JOHNSON PLACE
157,1163.02,1901.0,KENTSHIRE/TIMMERMAN
158,1163.03,1901.0,PT. DORCHESTER AND TIMMERMAN PLACE
159,1163.1,1903.0,CLAIRMONT PLACE
160,1163.11,1903.0,LARKSTONE PLACE
161,1163.12,1903.0,"PARKHURST ESTATES, BAKER PLACE, BELL R/P"
162,1163.13,1906.0,HARREL PARK
163,1164.0,1905.0,PARK NORTH 1 (5213.2)
164,1165.0,1904.0,CHATWOOD PLACE
165,1165.01,1906.0,WOOD GLEN SEC 3 (1991)
166,1165.02,1904.0,WOOD GLEN SEC 1 & 2
167,1166.0,1901.0,"LIBERTY RD MANOR 5,7 AND OTHERS"
168,1166.03,1901.0,"CARVER TERRACE, GARFIELD PLACE"
169,1166.05,1901.0,"LIBERTY ROAD MANOR SEC 4,6,14,19"
170,1166.09,1901.0,FORD
171,1167.0,1901.0,NORTH SHADYDALE (7063)
172,1168.0,1901.0,SHADY OAKS (7063)
173,1169.0,1901.0,"EAST HOUSTON #1,#1R/P (7065)"
174,117.0,4136.0,FAIRVIEW GARDENS M/R
175,117.01,4080.0,NORTHWEST VILLAGE T/H
176,117.02,4080.0,GOLFVIEW GARDEN HOMES
177,117.03,4080.0,THE PARK AT JERSEY VILLAGE
178,117.04,4080.0,LAKES OF JERSEY VILLAGE
179,117.05,4080.0,WYNDHAM LAKE SEC 1
180,117.06,4080.0,WINCHESTER ESTATES
181,117.07,4080.0,STEEPLE CHASE TERRACE
182,1170.0,1901.0,"SETTEGAST GARDENS #2,3 (7066)"
183,1171.0,1904.0,LAKE FOREST
184,1172.0,1901.0,TOWNLEY PLACE (7086)/OTHERS
185,1173.0,1901.0,HOU. SURBURBAN GDNS.
186,1174.0,1901.0,GREEN RIVER GARDENS
187,1175.0,1901.0,KNOLLWOOD EST.
188,1176.0,1901.0,"TIMBER AC.1,2"
189,1176.03,1907.0,PARKERS PLACE SEC 2
190,1177.0,1902.0,DOCKAL PARK
191,1178.0,1907.0,"LELAND WOODS SEC 1,2"
192,1179.0,1906.0,ACORN MESA ROAD
193,118.0,4007.0,HUNTWICK FOREST
194,118.01,4132.0,OAKS OF HUNTWICK T/H
195,1180.0,1908.0,CAL RUN ESTATES
196,1181.0,1907.0,ROYAL OAKS TERRACE
197,1182.0,1908.0,"WAYSIDE VILLAGE SEC 1,2"
198,1183.0,1906.0,MILBY PARK
199,1184.0,1906.0,"OAKS OF LAKEWOOD VILLAGE SEC 1,2"
200,119.0,4140.0,MIXED RESIDENTIAL
201,119.03,4140.0,SATSUMA EST. #2
202,119.04,4140.0,WEIMAN SUBDIVISION
203,119.05,4140.0,"SOMMERMEYER #1,2  M/R"
204,12.0,4152.0,"SOMMERALL 1,2,3,4"
205,12.01,4054.0,"SOMERALL WEST SEC. 1,3"
206,12.02,4085.0,COPPERFIELD WESTCREEK VLG 6
207,12.04,4054.0,"WINDSTONE COLONY SEC 2,4,9"
208,12.05,4054.0,"WINDSTONE COLONY SEC 6,7"
209,12.06,4054.0,"WINDSTONE COLONY SOUTH 1, 1 PAR R/P"
210,12.07,4054.0,"WINDSTONE COLONY SOUTH SEC 2,3,4,5"
211,12.1,4054.0,"RICEWOOD VILLAGE SEC 1-4, 6-8"
212,12.11,4054.0,"RICEWOOD VILLAGE SEC 1,3,5,9-11 LRG LTS"
213,12.2,4054.0,WESTFIELD RANCH SEC. 1-3
214,120.0,4058.0,CHAMPIONS WAY
215,121.0,4058.0,CHAMPIONS COLONY SEC. 3
216,121.01,4079.0,HAMLET AT CHAMPIONS U/R
217,122.0,4093.0,CHAMPION GLEN
218,122.01,4144.0,TIMBER TOP CONDO
219,122.02,4010.0,CHAMPIONS FOREST SEC 12
220,122.04,4010.0,CHAMPIONS FOREST 11
221,123.0,4017.0,WHITE OAK BEND SEC. 1
222,124.0,4137.0,MIXED RESIDENTIAL
223,124.01,4068.0,MEADOW VISTA #1-4
224,125.0,4017.0,WHITE OAK BEND #1
225,126.0,4074.0,"WINCHESTER COUNTRY SEC. 1,2"
226,126.02,4108.0,"WINCHESTER COUNTRY #6,9 YB>87"
227,126.03,4074.0,WINCHESTER CNTRY TRLS PT SEC.3
228,126.04,4074.0,WINCHESTER COUNTRY SEC. 6 & 9
229,126.05,4108.0,WINCHESTER COUNTRY SEC 7
230,126.06,4108.0,WINCHESTER VILLAGE 1
231,126.07,4108.0,"WINCHESTER MEADOWS 1,2"
232,126.08,4108.0,WINCHESTER VILLAGE 2 & 3
233,126.09,4108.0,WINCHESTER MEADOWS 3
234,127.0,4076.0,STEEPLECHASE PT #1
235,128.0,4077.0,"WINCHESTER CNTRY TRLS #1-3,10"
236,128.01,4077.0,WINCHESTER CNTRY TRLS SEC 4
237,128.02,4077.0,WINCHESTER COUNTRY TRAILS 2
238,128.03,4077.0,WINCHESTER CNTRY TRLS 2 YB>90
239,128.04,4077.0,"WINCHESTER COUNTRY TRLS 3,10"
240,129.0,4138.0,MIXED RESIDENTIAL
241,129.02,4099.0,COLE CREEK WOODS
242,129.03,4138.0,FAIRBANKS HEIGHTS M/R
243,13.0,4054.0,WESTFIELD VILLAGE
244,13.01,4054.0,WESTFIELD PINE SEC. 1
245,13.02,4054.0,WESTFIELD PINES SEC 2
246,13.04,4054.0,"WESTFIELD PINE 1, 2ND PAR R/P"
247,13.2,4054.0,MEADOWS AT WESTFIELD VILLAGE SEC 1
248,130.0,4073.0,STEEPLECHASE SEC. 3
249,130.01,4073.0,"STEEPLECHASE SEC. 5,6"
250,130.02,4075.0,STEEPLECHASE SEC 5 PT. R/P
251,131.0,4076.0,STEEPLECHASE SEC 2
252,132.0,4017.0,WHITE OAK BEND SEC. 2
253,1326.0,15101.0,FARM
254,1327.0,15116.0,STERLING GREEN SEC 7
255,1329.0,15115.0,WOOD EST. PINES CONDOS
256,133.0,4017.0,"HARVEST BEND 1-3,PAR R/P,4 R/P"
257,133.01,4017.0,"HARVEST BEND THE MEADOW 1,2"
258,133.02,4036.0,HARVEST BEND #7 & 8
259,133.03,4036.0,HARVEST BEND SEC 9
260,1330.0,15116.0,STERLING GREEN SEC 1 PT. R/P
261,1331.0,15108.0,CLOVERLEAF
262,1333.0,15116.0,CHANNELWOOD
263,1334.0,15104.0,RIVERGROVE GARDEN HOME
264,1335.0,15106.0,RIVIERA EAST SEC 1 R/P
265,1336.0,15106.0,RIVIERA EAST #3
266,1337.0,15106.0,RIVIERA EAST SEC 4
267,1337.01,15106.0,RIVIERA EAST 4 YB >1990
268,134.0,4068.0,TURTLE HILL VILLAGE
269,1342.0,15107.0,"HUNTERWOOD VILLAGE #3,4"
270,1342.01,15107.0,"PINE TREE SEC 1,2"
271,1343.0,15102.0,WOOD FOREST #25
272,1344.0,15107.0,"PINE TRAILS #6,8"
273,1345.0,15107.0,"PINE TRAILS #1,2"
274,1346.0,15107.0,PINE TRAILS #9
275,1347.0,15107.0,PINE TRAILS #10 R/P
276,1348.0,15107.0,"PINE TRAILS #3,4,5,7,"
277,1348.01,15107.0,SECLUSION EST U/R
278,1349.0,15103.0,"WOODFOREST #17 R/P,19,22"
279,135.0,4068.0,TURTLE LAKE
280,135.01,4036.0,TURTLE LAKE YB>90
281,1350.0,15102.0,WOODFOREST #16
282,1351.0,15103.0,"WOODFORESST #6,10,12,13,15,18"
283,1352.0,15103.0,"WOODFOREST PT. #2,3,5,7,13,15"
284,1353.0,15102.0,"WOODFOREST #4,11"
285,1354.0,15103.0,WOODFOREST #1R/P
286,1356.0,15102.0,WOODFOREST PT.#25
287,1357.0,15102.0,WOODFOREST PT.#21
288,1357.01,15102.0,WOOD FOREST SEC 27
289,1359.0,15104.0,WOODFOREST PT #21
290,136.0,4014.0,CYPRESS GLEN
291,1360.0,15104.0,WOODFOREST PT. #21
292,1361.0,15102.0,WOODFOREST NORTH
293,1363.0,15111.0,GALENA MANOR AREA
294,1363.01,15111.0,FIDELITY
295,1364.0,15111.0,CLINTON ANNEX/E. THOMAS AREA
296,1365.0,15111.0,GALENA PINES AREA
297,1366.0,15111.0,WOODLAND AREA
298,1367.0,15111.0,GALENA TERRACE AREA
299,1369.0,15109.0,INDUSTRIAL ADD`N AREA
300,1369.01,15109.0,INDUSTRIAL BLKS 47-53
301,137.02,4037.0,TALLOWOOD SEC.4
302,137.04,4037.0,TALLOW WOOD SEC.1
303,137.05,4038.0,"TALLOW WOOD 2,3"
304,137.06,4021.0,PARKSIDE @ PERRY #1 & 2
305,137.07,4038.0,MILLS CROSSING
306,1370.0,15109.0,"MANGUM PLACE #1,2"
307,1371.0,15109.0,MANGUM PLACE #3
308,1372.0,15109.0,JACINTO OAKS
309,1375.0,15110.0,WOODLAND ACRES ANNEX 7
310,1375.01,15110.0,"WOODLAND ACRES ANNEX #3,4,5,6"
311,1376.0,15101.0,M/R
312,1377.0,15108.0,VICTOR PLACE/ABBOTT AREA
313,1378.0,15108.0,MARWOOD
314,1379.0,15111.0,UNIVERSAL CITY/CLINTON/G. OAKS
315,138.0,4061.0,NORTHCHESTER SOUTH
316,138.02,4021.0,"LINNFIELD SEC 1,2,3"
317,1380.0,15115.0,COLLEGEVIEW TOWNHOMES
318,1380.01,15105.0,PLANTATION AT WOODFOREST #2
319,1380.02,15105.0,PLANTATION AT WOODFOREST #1
320,1380.03,15105.0,PLANTATION AT WOODFOREST #3
321,1380.04,15105.0,PLANTATION AT WOODFOREST #4
322,1380.05,15105.0,PLANTATION AT WOODFOREST 6
323,1380.06,15105.0,NEW FOREST SEC 1
324,1380.07,15105.0,"NEW FOREST WEST SEC 1,5"
325,1380.08,15105.0,NEW FOREST WEST SEC 2
326,1380.09,15105.0,NEW FOREST WEST SEC 3
327,1381.0,15115.0,CASTILIAN VILLAGE
328,1382.0,15115.0,WOOD FOREST CONDO
329,1382.01,15115.0,WOODFOREST CONDOS
330,1383.0,15115.0,AUDREY LANE T/H
331,1384.0,15105.0,NEW FOREST WEST SEC 4
332,1385.0,15107.0,HUNTERWOOD VLGE #3 R/P
333,1386.0,15102.0,THORNHILL EXTENSION U/R
334,1387.0,15105.0,"WOOD FOREST NORTH #2,4"
335,1387.01,15105.0,WOOD FOREST NORTH PT2 R/P 6
336,1387.02,15105.0,"WOOD FOREST NORTH #3,6"
337,1387.03,15105.0,WOOD FOREST NORTH 9
338,1387.04,15112.0,HIDDEN FOR. PT. HME.O.EST(5431
339,1387.05,15113.0,HOME OWNED ESTS. W. OF UVALDE
340,1387.06,15110.0,WOODLAND ACRES/HARRIS W.(5434)
341,1387.07,15112.0,HIDDEN FOREST
342,1387.08,15105.0,"WOODFOREST NORTH #8,10"
343,1388.0,15113.0,HOME OWNED ESTS. E. OF UVALDE
344,1389.0,15102.0,WOODFOREST SEC 26
345,139.0,4014.0,MILLS WALK
346,14.0,4103.0,HOUSTON HOT WELLS
347,140.0,4061.0,CYPRESS FOREST SEC. 1 & 2
348,141.0,4070.0,WESTERN ESTATES SEC 1
349,142.0,4070.0,HUNTERWOOD FOREST SEC. 3
350,142.01,4090.0,HUNTERWOOD FOREST SEC. 1
351,143.0,4070.0,HUNTERWOOD FOREST SEC. 2
352,144.0,4138.0,MIXED RESIDENTIAL
353,144.01,4084.0,PECAN OAK TH (ROLLING FORK 7)
354,144.02,4134.0,REID EST.
355,144.03,4134.0,WINDFERN MEADOWS
356,144.04,4134.0,TAYLORS NORTH HOUSTON
357,144.05,4134.0,NORTH HOUSTON
358,145.0,4050.0,CREEKSIDE ESTATES SOUTH
359,146.0,4060.0,OAKWOOD FOREST
360,147.0,4031.0,WOODLAND TRAILS WEST 1 & 3
361,147.01,4031.0,"WOODLAND OAKS SEC 1,2"
362,147.03,4031.0,NORTHWEST PLACE ESTATES
363,147.04,4038.0,WILLOW PARK VILLAGE
364,147.05,4038.0,SOLITAIRE
365,147.06,4038.0,"MILLS LANDING SEC 1,2,3"
366,147.08,4031.0,ROSSLYN LANDING SEC 1.2
367,147.12,4038.0,MILLS CREEK CROSSING SEC 1
368,148.0,4084.0,COURTYARD HOMES
369,148.01,4082.0,COURTYARD HOMES THREE SEC2 R/P
370,149.0,4031.0,WOODLAND TRAILS WEST 2
371,15.0,4027.0,CYPRESS MEADOWS
372,15.01,4027.0,"CYPRESS MEADOWS SEC 5,6"
373,15.09,4029.0,WINDSONG PLACE
374,150.0,4031.0,WOODLAND OAKS SEC. 3
375,1500.0,21001.0,PASADENA EXEMPTS
376,1501.0,21001.0,VINCE M/R
377,1501.01,21001.0,EXEMPT 1501
378,1502.0,21001.0,QUEENS M/R
379,1502.01,21001.0,EXEMPT 1502
380,1503.0,21001.0,RED BLUFF M/R
381,1503.01,21001.0,EXEMPT 1503
382,1504.0,21001.0,FAIRMONT M/R
383,1504.01,21001.0,EXEMPT 1504
384,1504.02,21032.0,FAIRMONT/GENOA (W OF ALLEN GENOA)
385,1505.0,21001.0,GENOA M/R
386,1505.01,21001.0,EXEMPT 1505
387,1505.02,21032.0,FAIRMONT/GENOA (E OF ALLEN GENOA)
388,1506.0,21001.0,SOUTH HOUSTON GARDENS M/R
389,1506.01,21001.0,EXEMPT 1506
390,1508.0,21023.0,BEVERLY CT/BLACKWELL/GLASGOW
391,1509.0,21023.0,MAGNOLIA COURTS
392,1509.01,21001.0,PITTS & OTHERS
393,151.0,4031.0,WOODLAND TRAILS WEST #4
394,151.01,4049.0,"WOODLAND TRAILS WEST 8,9,10"
395,151.02,4064.0,ENCLAVE BY TEXAS CASADOR
396,151.03,4064.0,PARK AT HOLLISTER
397,151.04,4049.0,WOODLAND GATE
398,151.05,4064.0,"WILSHIRE COURT SEC 1,2"
399,1510.0,21045.0,SAN JACINTO TERRACE
400,1511.0,21044.0,WEST JACKSON PLACE/SINCO COURT
401,1511.01,21044.0,WESTOVER
402,1512.0,21044.0,MOBILE & SUNSET TERRACE
403,1512.02,21044.0,PANK & CRUSE
404,1513.0,21044.0,PASADENA PLACE
405,1513.01,21044.0,PASADENA TERRACE
406,1514.0,21044.0,PARK BROTHERS
407,1516.0,21045.0,TURNER SUBDIVISION
408,152.0,4050.0,BURGER ESTATES
409,152.01,4144.0,CYPRESS FAIR T/H CONDO
410,152.02,4138.0,MASSAAD GROUP REPLAT 1
411,1520.0,21045.0,GREATER PASADENA HTS/S. SIDE PL
412,1521.01,21023.0,OLEANDER
413,1522.0,21023.0,PASADENA GARDENS
414,1523.01,21023.0,REVELON TERRACE
415,1524.0,21035.0,RED BLUFF  TERRACE SEC 1-7
416,1525.0,21066.0,PARKWOOD ESTATES SEC 4
417,1526.01,21028.0,SAN AUGUSTINE T/H
418,1526.02,21066.0,MEADOW WOODS (PATIO)
419,1527.0,21016.0,BENNETT EST. & TANGLEBRIAR
420,1528.0,21023.0,SATSUMA HEIGHTS
421,1529.0,21049.0,PRESTON VILLA
422,153.0,4050.0,ROLLING FORK
423,153.01,4155.0,WINFERN
424,153.02,4155.0,HERON LAKES ESTATES 1 & 2
425,153.03,4155.0,HERON LAKES TH'S
426,153.04,4155.0,HERON WEST SEC 1&2
427,153.05,4154.0,"SILVER OAK TRAILS SEC 1,2,&3"
428,153.06,4154.0,SILVER OAK TRAILS
429,153.07,4155.0,WINFERN TRACE
430,153.08,4155.0,FERNDALE ESTATES AMEND
431,1530.0,21023.0,SATSUMA PROVENIR M/R
432,1531.0,21023.0,SATSUMA PLACE
433,1532.0,21011.0,JENKINS VILLAGE
434,1532.01,21011.0,SOUTHMORE CONDO'S
435,1533.0,21028.0,WILLOW OAKS T/H
436,1533.01,21011.0,VARIETY VILLAGES
437,1534.0,21042.0,"EASTRAVEN SEC 1,2"
438,1535.0,21014.0,"H.A. PAINE SEC 1,2"
439,1536.0,21050.0,VINCE BAYOU/SUNNY SLOPE
440,1538.0,21039.0,SHADOW LAWN
441,154.0,4024.0,PATIO HOMES OF WINDFERN GARDEN
442,154.01,4156.0,WOODWIND LAKES #1
443,154.02,4156.0,WOODWIND LAKES 3
444,154.03,4156.0,WOODWIND LAKES SEC 4
445,154.04,4156.0,MAURA LAO GARDENS 1
446,154.05,4156.0,STONEWAY VILLAGE
447,154.06,4156.0,"TERRACE BROOK SEC 1,2,3,4,5,6"
448,154.07,4156.0,MAUNA LOA GARDENS SEC 2
449,1540.0,21014.0,SOUTHMORE PLAZA/FIRWOOD VLG
450,1541.0,21014.0,"FOREST OAKS EXTENSION SEC 2,3"
451,1542.0,21025.0,MEADOW CREEK VILLAGE SEC 1-3
452,1542.01,21041.0,PT.MEADOW CREEK VLG #2 ROW T/H
453,1543.0,21011.0,"PASADENA OAKS SEC 2,3"
454,1543.01,21011.0,PASADENA OAKS
455,1544.0,21050.0,CAMPBELL'S LITTLE FARMS
456,1545.0,21010.0,VINCE HGTS SEC 3-5/LOCKLAINE
457,1546.0,21014.0,"VINCE HGTS SEC 1,2"
458,1547.0,21001.0,FENWOOD
459,1548.0,21048.0,SHERWOOD & OTHERS
460,1549.0,21062.0,SOUTH PASADENA VILLAS
461,155.0,4024.0,WINDFERN GARDENS SEC. 2
462,1550.0,21014.0,SHAVER PLACE & FRONTIER EAST
463,1552.01,21036.0,STADIUM EST 2/CLEARBROOK/PT OAK CLIFF/ELMWOOD TER
464,1553.0,21015.0,STRAWBERRY HILL SEC 1-6
465,1554.01,21042.0,MARLEN TERRACE/KINGSTON PLACE
466,1554.02,21066.0,KIMBERLY PARK
467,1555.0,21022.0,WILSHIRE PARK
468,1555.01,21048.0,SIMWAY PLACE (FLYNN ST.)
469,1557.0,21060.0,PINESWEPT & PT HOUSTON SUB EST
470,1557.01,21048.0,COURTYARD HOMES OF PASADENA
471,1558.0,21050.0,GOLDEN ACRES
472,1559.0,21050.0,SPENCER HIGHWAY GARDENS
473,156.0,4024.0,WINDFERN FOREST SEC. 1 & 2
474,1560.0,21063.0,KINGSDALE ADDN
475,1561.0,21015.0,FIELDCREST
476,1562.0,21040.0,PRESTON MANOR
477,1562.01,21049.0,MARTINDALE
478,1562.02,21040.0,GRUNEWOLD ACRES & OTHERS
479,1563.0,21066.0,RAYBURN PARK
480,1563.01,21066.0,CHERRYBROOK VILLAGE #1
481,1564.0,21040.0,"WINDWARD VIEW SEC 1,2"
482,1565.0,21022.0,PARKVIEW ESTATES SEC 1-4
