,tax_year,account,total_appraised_value,total_market_value,land_value
10436,2019,82690000017,319000.0,319000,125000
10437,2019,82690000018,320655.0,320655,125000
10438,2019,82690000019,868367.0,868367,448420
10440,2019,82690000022,850370.0,850370,344568
10441,2019,82700000001,545433.0,545433,415625
10442,2019,82700000003,542000.0,542000,415625
10444,2019,82700000013,525206.0,525206,415625
10446,2019,82710000004,545544.0,545544,437500
10447,2019,82710000005,593568.0,593568,393750
10449,2019,82710010001,294775.0,304543,135000
10450,2019,82710010002,309182.0,328329,135000
10451,2019,82710010003,291596.0,300842,135000
10452,2019,82710010004,355240.0,355240,135000
10453,2019,82710010005,324500.0,340000,164800
10454,2019,82710010006,364672.0,364672,160000
10456,2019,82720000002,563570.0,563570,415625
10460,2019,82720000015,715000.0,715000,402500
10461,2019,82730000001,674658.0,674658,386120
10464,2019,82730000005,547800.0,591766,422660
10465,2019,82730000006,500000.0,500000,388500
11098,2019,90690000004,1559081.0,1559081,520000
11099,2019,90700020001,148166.0,286394,136020
11100,2019,90700020002,281338.0,281338,136020
11103,2019,90720010001,283523.0,283523,135030
11104,2019,90720010002,277000.0,277000,135030
11105,2019,90720010003,257681.0,266918,135900
11106,2019,90720010004,187372.0,320000,135900
11107,2019,90720010005,167205.0,250554,135930
11108,2019,90720010006,265681.0,283192,135960
11109,2019,90720010007,273000.0,273000,135960
11110,2019,90720010008,265884.0,265884,135960
11111,2019,90730000003,321770.0,321770,260000
11118,2019,90730030001,176357.0,278777,134130
11119,2019,90730030002,179280.0,278777,134130
11120,2019,90730030003,266207.0,266834,134100
11121,2019,90730030004,179280.0,278747,134100
11122,2019,90740000004,812350.0,1000000,260000
11124,2019,90740000006,212960.0,252790,130000
11138,2019,90770000015,120861.0,120861,93600
11139,2019,90770000016,323024.0,323024,124200
11140,2019,90770000017,322204.0,322204,117450
11141,2019,90770000018,320139.0,320139,118350
11174,2019,90830000007,261000.0,261000,260000
11175,2019,90830000009,253332.0,479900,278200
11179,2019,90850000003,310740.0,389249,260000
11181,2019,90860000001,177963.0,177963,176800
11182,2019,90860000002,172735.0,172735,171600
11183,2019,90860000003,202753.0,261069,260000
11184,2019,90860000004,260600.0,260600,260000
11185,2019,90860000005,335500.0,490384,260000
11188,2019,90860000014,155912.0,155912,154777
11197,2019,90870000017,53214.0,53214,53040
11200,2019,90870000020,57554.0,57554,57096
11207,2019,90950010001,327124.0,327124,94470
11208,2019,90950010002,360398.0,360398,94470
11209,2019,90950010003,353951.0,353951,94470
11210,2019,90970000002,1053000.0,1053000,800000
11213,2019,90970000007,442713.0,442713,389760
11216,2019,90980000002,480057.0,480057,400000
11217,2019,90980000003,435461.0,435461,400000
11218,2019,90980000005,470000.0,470000,400000
11219,2019,90980000006,544812.0,544812,400000
11220,2019,90980000007,469000.0,469000,400000
11222,2019,90990000001,518000.0,518000,400000
11223,2019,90990000002,500000.0,500000,400000
11224,2019,90990000005,532000.0,532000,400000
11225,2019,90990000006,517000.0,523117,400000
11226,2019,90990000007,445000.0,445000,400000
11227,2019,90990000008,551842.0,551842,400000
11228,2019,91000000001,355276.0,400000,399900
11229,2019,91000000002,395588.0,430223,400000
11230,2019,91000000005,828070.0,828070,400000
11231,2019,91000000006,408000.0,408000,400000
11232,2019,91000000007,501300.0,501300,400000
11233,2019,91010000002,589364.0,589364,400000
11234,2019,91010000003,1139685.0,1139685,400000
11235,2019,91010000004,480104.0,480104,400000
11236,2019,91010000005,714741.0,714741,400000
11237,2019,91010000006,475499.0,475499,400000
11238,2019,91010000007,584930.0,584930,400000
11240,2019,91020000001,534124.0,534124,400000
11242,2019,91020000005,489100.0,489100,400000
11243,2019,91030000001,610015.0,610015,380640
11244,2019,91030000002,416000.0,416000,380640
11245,2019,91030000003,408640.0,408640,380640
11246,2019,91030000004,451975.0,451975,380640
11247,2019,91030000005,450000.0,450000,380640
11248,2019,91030000006,400640.0,400640,380640
11249,2019,91030000007,759160.0,759160,380640
11250,2019,91030000008,389138.0,401342,380640
11251,2019,91060000001,476364.0,477141,394800
11252,2019,91060000002,400000.0,400000,394800
11253,2019,91060000003,495996.0,495996,394800
11254,2019,91060000004,416721.0,421480,394800
11255,2019,91060000006,510000.0,510000,395200
11256,2019,91060000007,442850.0,442850,395200
11257,2019,91060000009,426053.0,430000,394800
11258,2019,91070000002,441000.0,441000,402000
11264,2019,91190000006,142507.0,142507,105347
12445,2019,101500300007,240000.0,240000,162000
12446,2019,101500300008,345000.0,345000,124200
12447,2019,101500300010,422909.0,422909,124200
12448,2019,101500300011,363900.0,363900,124200
12449,2019,101500300012,273340.0,273340,124200
12450,2019,101500300019,467460.0,467460,115200
12451,2019,101500300020,496700.0,496700,114660
12452,2019,101500300021,475174.0,475174,97830
12453,2019,101500300022,478000.0,478000,111870
12454,2019,101500300023,483223.0,483223,108630
12548,2019,101650000007,426000.0,426000,161250
12549,2019,101650000008,445500.0,452122,161625
12550,2019,101650000009,328946.0,328946,121425
12551,2019,101650000012,328425.0,328425,121125
12552,2019,101650000013,328425.0,328425,121125
12553,2019,101650000016,465055.0,465055,464955
12556,2019,101650000025,531300.0,557721,168750
12560,2019,101650000029,366447.0,366447,159225
12561,2019,101650000030,360000.0,360000,120525
12562,2019,101650000031,377212.0,377212,159225
12563,2019,101650000032,381386.0,381386,120525
12564,2019,101650000033,364387.0,364387,120825
12565,2019,101650000034,371763.0,371763,159000
12566,2019,101650000036,340495.0,340495,114375
12567,2019,101650000037,368000.0,368000,125250
12568,2019,101650000038,353000.0,353000,114300
12569,2019,101650000039,365000.0,365000,125700
12570,2019,101650000040,395000.0,395000,123450
12571,2019,101650000041,430700.0,430700,163500
12572,2019,101650000042,380945.0,380945,114300
12573,2019,101650000043,423034.0,423034,124650
12574,2019,101650000044,366196.0,366196,114150
12575,2019,101650000045,460241.0,460241,162375
12576,2019,101660000005,292332.0,292332,88608
12581,2019,101660000018,292740.0,292740,89729
12582,2019,101660000029,323058.0,323058,88515
12583,2019,101660000033,416433.0,416433,122400
12584,2019,101660000034,296389.0,296389,88236
12585,2019,101660000035,278200.0,278200,88236
12586,2019,101660000036,366799.0,366799,122400
12587,2019,101660000037,289023.0,289023,89336
12588,2019,101660000038,289000.0,289000,87108
12589,2019,101660000039,280000.0,280000,89100
12590,2019,101660000040,300358.0,300358,89729
12591,2019,101660000042,294600.0,294600,89336
12592,2019,101660000043,304424.0,304424,88515
12593,2019,101660000044,303664.0,303664,89100
12594,2019,101660000046,347134.0,347134,88740
12595,2019,101660000047,299983.0,299983,87108
12596,2019,101660000048,332787.0,332787,88858
12597,2019,101660000049,306600.0,306600,88858
12598,2019,101660000050,361310.0,361310,88343
12599,2019,101660000051,355359.0,355359,84593
12600,2019,101660000052,354379.0,354379,89264
12601,2019,101660000053,349474.0,349474,84593
12602,2019,101660000054,365701.0,365701,87757
12603,2019,101660010001,456973.0,456973,120000
12604,2019,101660010002,453458.0,453458,120000
12609,2019,101680000004,440236.0,440236,330784
14138,2019,102420000622,371747.0,392285,129675
14244,2019,102490000001,900000.0,900000,677960
14245,2019,102490000002,1580764.0,1580764,880000
14246,2019,102490000003,2082291.0,2082291,909240
14247,2019,102490000004,2000000.0,2000000,845920
14249,2019,102490000006,1041200.0,1041200,851500
14250,2019,102490000007,2519000.0,3500000,988660
14251,2019,102490000009,1972000.0,1972000,816320
14252,2019,102490000010,1595000.0,2000000,790000
14253,2019,102490000011,1737092.0,1970491,790000
14254,2019,102490000012,1594404.0,1700242,790000
14255,2019,102490000013,2500000.0,2500000,859200
14256,2019,102490000014,2200000.0,2200000,881075
14257,2019,102490000015,2320056.0,2327063,902500
14258,2019,102490000016,1900000.0,1900000,902500
14259,2019,102490000018,2493683.0,2493683,857500
14260,2019,102490000019,1533840.0,1797000,749200
14261,2019,102490000020,1800000.0,1800000,1467500
14262,2019,102490000022,2568500.0,3000000,1063000
14263,2019,102490000023,1493100.0,1493100,712000
14264,2019,102490000024,2276177.0,2518201,805000
14267,2019,102490000028,1071841.0,1071841,452473
14350,2019,102550020006,445000.0,445000,240125
14354,2019,102550020026,412500.0,415000,241145
14355,2019,102550020027,538718.0,538718,264180
14356,2019,102550020028,474200.0,474200,286875
14357,2019,102550020029,445000.0,445000,285855
14358,2019,102550020030,511732.0,511732,264180
14359,2019,102550020031,495112.0,495112,264265
14360,2019,102550020032,511000.0,511000,264265
14382,2019,102640170001,1114726.0,1200000,688750
14383,2019,102640170003,1840000.0,1840000,1377500
14384,2019,102640170005,892100.0,1190800,688750
14385,2019,102640170006,511500.0,652500,652400
14386,2019,102640170007,1474342.0,1474342,688750
14387,2019,102640170008,891000.0,1048750,688750
14388,2019,102640170009,790000.0,790000,688750
14390,2019,102640170012,1771931.0,1825000,688750
14391,2019,102640170013,981612.0,981612,500000
14392,2019,102640170014,1837471.0,1837471,688750
14393,2019,102640170015,1800000.0,1800000,688750
14394,2019,102640170016,820000.0,820000,688750
14395,2019,102640170017,1864500.0,1950000,688750
14396,2019,102640170018,1593378.0,1593378,688750
14397,2019,102640170019,1658908.0,1658908,688750
14398,2019,102640170020,983837.0,1057674,688750
14399,2019,102640170021,1385560.0,1443800,688750
14405,2019,102640190013,403014.0,403014,279000
14407,2019,102640190019,715000.0,875686,426870
14409,2019,102640190022,507789.0,507789,279000
14410,2019,102640190023,330000.0,404959,279000
14411,2019,102640190024,458797.0,469511,324000
14412,2019,102640190026,507500.0,507500,279000
14413,2019,102640190027,408652.0,410000,279000
14415,2019,102640190029,632500.0,670000,279000
14416,2019,102640190030,699730.0,699730,279000
14417,2019,102640190031,666746.0,670000,279000
14418,2019,102640190032,653059.0,664786,279000
14419,2019,102640190033,667943.0,667943,279000
14420,2019,102640190034,666439.0,666439,281160
14421,2019,102640190035,666439.0,666439,281160
14422,2019,102640190036,654500.0,684800,281160
14423,2019,102640190037,691000.0,691000,281160
14424,2019,102640200006,1114595.0,1120000,606360
14428,2019,102640200013,1320000.0,1380000,668800
14429,2019,102640200014,1548979.0,1548979,668800
14430,2019,102640200015,1715000.0,1715000,671650
14431,2019,102640200016,1853882.0,1891956,674500
14432,2019,102640200017,1266000.0,1266000,674500
14433,2019,102640200018,1075000.0,1075000,677350
14434,2019,102640200019,1133070.0,1133070,677350
14435,2019,102640200020,1238900.0,1238900,680200
14436,2019,102640200021,1275000.0,1275000,683050
14438,2019,102640200024,1623160.0,1711523,950950
17626,2019,121150000032,1243305.0,1243305,1164500
17646,2019,121150020001,389240.0,389240,156353
17647,2019,121150020002,396979.0,396979,143100
17648,2019,121150020003,354312.0,377600,145500
17649,2019,121150020004,386901.0,386901,143190
17650,2019,121150020005,300000.0,300000,145500
17651,2019,121150020006,376393.0,376393,144458
17652,2019,121150020007,360600.0,360600,144375
17653,2019,121150020008,354312.0,391358,145500
17654,2019,121150020009,336000.0,336000,140007
17655,2019,121150020010,373783.0,373783,142332
17656,2019,121150020011,372300.0,372300,141549
17657,2019,121150020012,342060.0,342060,142101
17658,2019,121150030001,418779.0,418779,142785
17659,2019,121150030002,362685.0,362685,142295
17660,2019,121150030003,357774.0,357774,142158
17661,2019,121150030004,375618.0,375618,140747
17662,2019,121150030005,345000.0,345000,145500
17663,2019,121150030006,359606.0,359606,144375
17664,2019,121150030007,436508.0,436508,143100
17665,2019,121150030008,363965.0,363965,145500
17666,2019,121150030009,312423.0,312423,143190
17667,2019,121150030010,373955.0,373955,145500
17668,2019,121150030011,367377.0,367377,144458
17669,2019,121150030012,424295.0,424295,156353
17671,2019,121160000001,423918.0,423918,135810
17672,2019,121160000011,423918.0,423918,135810
17673,2019,121160000012,740884.0,740884,280170
17674,2019,121160000013,516315.0,516315,179280
17675,2019,121160000014,562100.0,614056,285210
17676,2019,121160000016,577500.0,593775,290610
17951,2019,121380030001,673893.0,673893,466863
17952,2019,121380030003,480733.0,507755,454750
17953,2019,121380030004,503980.0,503980,454750
17954,2019,121380030005,1116765.0,1141190,496613
17955,2019,121380030012,629750.0,629750,420278
17957,2019,121380040002,610045.0,610045,411230
17961,2019,121380040006,597776.0,597776,411230
17964,2019,121380050002,298269.0,298269,174250
17965,2019,121380050003,495000.0,495000,174250
17966,2019,121380050004,328500.0,328500,174250
17968,2019,121380050006,288446.0,288446,174250
17969,2019,121380050007,321898.0,321898,174250
17970,2019,121380050008,504234.0,504234,174250
17971,2019,121380060003,964000.0,964000,426335
21496,2019,132200000003,384269.0,384269,330000
21497,2019,132200000009,495000.0,495000,275000
21499,2019,132220000005,431109.0,431109,157600
21500,2019,132220000006,388600.0,388600,143360
21501,2019,132220000007,634922.0,634922,275000
21502,2019,132220000009,452352.0,452352,189600
21503,2019,132220000010,360000.0,360000,191120
21505,2019,132220000015,357993.0,384096,144880
21506,2019,132220000016,389934.0,426959,190480
21507,2019,132220000017,347742.0,347742,130640
21508,2019,132220000018,303088.0,333541,116000
21509,2019,132220000019,335996.0,420000,148240
21510,2019,132220000020,363660.0,381000,159600
21511,2019,132220000021,280106.0,280106,132560
21512,2019,132220000022,280448.0,280448,107600
21517,2019,132230000007,288641.0,354124,275000
21518,2019,132230000009,596571.0,637139,275000
21519,2019,132230000011,311197.0,364822,275000
21522,2019,132240000007,392529.0,392529,247500
21525,2019,132250000003,147951.0,147951,108405
21529,2019,132270000007,1159179.0,1159179,398750
21541,2019,132300000015,153976.0,153976,147000
21545,2019,132320010001,321117.0,335019,124980
21546,2019,132320010002,306130.0,314600,124980
21547,2019,132320010003,340375.0,347000,124980
21550,2019,132390000006,576500.0,576500,550000
21551,2019,132390000008,323966.0,368418,79750
21552,2019,132390000011,350000.0,350000,88000
21553,2019,132390000012,359810.0,377250,107250
21573,2019,132500000002,953480.0,1162103,275000
21608,2019,132680000001,503968.0,503968,503768
21616,2019,140030000007,378982.0,378982,275000
21617,2019,140060000001,260380.0,260380,241817
21618,2019,140060000003,272468.0,282349,172308
21619,2019,140060000004,192732.0,196641,163571
21620,2019,140060000010,292507.0,292507,207418
21621,2019,140060000014,191786.0,195258,165000
21622,2019,140060000015,202294.0,205399,165000
21623,2019,140060000016,187503.0,189558,165000
21629,2019,140100000014,565872.0,565872,292320
21630,2019,140100000020,348053.0,389858,240000
21631,2019,140100000021,278358.0,278358,132000
21632,2019,140100000022,258315.0,268697,106240
21633,2019,140100000023,360952.0,380729,205104
21634,2019,140100000024,314395.0,314395,153760
21638,2019,140110000007,462175.0,462175,264000
21639,2019,140120000003,551980.0,590481,275000
21642,2019,140120000011,852500.0,990000,343750
21643,2019,140120000014,358338.0,358338,160000
21645,2019,140120000016,293735.0,293735,120000
21646,2019,140120000017,315128.0,315128,120000
21649,2019,140120010003,440022.0,440022,214000
21650,2019,140120010004,411566.0,411566,186000
21652,2019,140150000007,400970.0,407117,400000
21656,2019,140180000009,432613.0,432613,370800
21657,2019,140180000010,378593.0,378593,370800
21660,2019,140190000001,835000.0,835000,400000
21662,2019,140190000006,358850.0,404988,400000
21663,2019,140190000007,270998.0,401440,400000
21668,2019,140210000001,569302.0,569302,400000
21676,2019,140230000007,328619.0,328619,179840
21677,2019,140230000010,338416.0,338416,178800
21678,2019,140230000011,341000.0,364000,188000
21679,2019,140230000012,356109.0,384413,237360
21683,2019,140240000002,452546.0,452546,400000
21688,2019,140250000007,401000.0,401000,400000
21691,2019,140260000001,569600.0,569600,400000
21692,2019,140260000002,809832.0,809832,800000
21695,2019,140260000011,501089.0,501089,400000
21698,2019,140270000012,325600.0,350961,180000
21699,2019,140270000013,357500.0,405000,192000
21700,2019,140270000014,342277.0,392912,200000
21701,2019,140270000015,338025.0,389163,200000
21707,2019,140290000002,381500.0,381500,196480
21711,2019,140290000006,436021.0,436021,203520
21712,2019,140300000004,554649.0,554649,400000
21834,2019,140530000013,369738.0,369738,126720
21835,2019,140530000014,374953.0,374953,123840
21836,2019,140530000015,376021.0,376021,150160
21837,2019,140530000016,331697.0,331697,110480
21838,2019,140530000017,307188.0,307188,114960
21839,2019,140530000018,335761.0,335761,161040
21840,2019,140530000019,328417.0,328417,107200
21841,2019,140530000020,307188.0,307188,114960
21842,2019,140530000021,370389.0,370389,176320
21843,2019,140530000022,350339.0,350339,123040
21844,2019,140530000023,306608.0,306608,111520
21845,2019,140530000024,377379.0,377379,150080
21846,2019,140530000025,378815.0,378815,150560
21847,2019,140530000026,359904.0,359904,111920
21848,2019,140530000027,350780.0,350780,123360
21849,2019,140530000028,357509.0,357509,163440
21850,2019,140530000029,300372.0,300372,123520
21851,2019,140530000030,332085.0,332085,98880
21852,2019,140530000031,347508.0,354229,160160
21853,2019,140530000032,317255.0,317255,123520
21854,2019,140530000033,418269.0,418269,177200
21855,2019,140530000034,353795.0,353795,149600
21856,2019,140530000035,337463.0,337463,111520
21857,2019,140530000036,347406.0,347406,123360
21858,2019,140540000003,496513.0,496513,395760
21861,2019,140540000010,577581.0,577581,395760
21863,2019,140540000012,697654.0,723750,395760
21870,2019,140560000010,440000.0,450000,400000
21872,2019,140570000005,390152.0,390152,112800
21873,2019,140570000007,393800.0,485707,395760
21874,2019,140570000009,533000.0,533000,400000
21875,2019,140570000010,443900.0,443900,193360
21876,2019,140570000013,397446.0,397446,152000
21877,2019,140570000014,388295.0,388295,121600
21878,2019,140570000015,429000.0,429000,193360
21879,2019,140580000001,464972.0,464972,400000
21880,2019,140580000003,418625.0,418625,400000
21881,2019,140580000004,804780.0,804780,400000
21883,2019,140580000007,575000.0,575000,400000
21886,2019,140580000011,395848.0,470347,394128
21889,2019,140590000005,259707.0,259707,100000
21890,2019,140590000007,537571.0,537571,400000
21891,2019,140590000010,616755.0,616755,400000
21892,2019,140590000011,230702.0,230702,100000
21893,2019,140590000012,265594.0,265594,100000
21894,2019,140610000001,525260.0,525260,415200
21895,2019,140610000002,506000.0,520638,391000
21898,2019,140610000008,301117.0,301117,88320
21899,2019,140610000010,526854.0,558282,394128
21900,2019,140610000011,302413.0,302413,95760
21901,2019,140610000012,291000.0,291000,83040
21902,2019,140610000013,331133.0,331133,124480
21903,2019,140610000014,438761.0,438761,192800
21904,2019,140610000015,442000.0,442000,193600
21907,2019,140620000005,432000.0,432000,400000
21909,2019,140620000009,488427.0,488427,400000
21912,2019,140620000012,584224.0,584224,400000
21916,2019,140630000004,495552.0,495552,394128
21922,2019,140650000002,544993.0,566375,424120
21923,2019,140650000003,469560.0,469560,439560
21941,2019,140680000010,410890.0,410890,285208
21942,2019,140680000011,256875.0,283784,235206
21943,2019,140680010001,329641.0,344089,188000
21944,2019,140680010002,380876.0,380876,200720
21945,2019,140680010003,339241.0,354316,200000
21946,2019,140680010004,298100.0,320430,180000
21947,2019,140690000001,474744.0,474744,400000
21948,2019,140690000003,440800.0,440800,400000
21951,2019,140690000010,460605.0,470000,400000
21957,2019,140700000006,434000.0,434000,404000
21958,2019,140700000007,439804.0,439804,404000
21965,2019,140710000007,667752.0,667752,404000
21966,2019,140720000001,598620.0,598620,400000
21967,2019,140720000003,567473.0,567473,400000
21970,2019,140720000009,483153.0,515484,400000
21971,2019,140720000010,519956.0,519956,400000
21972,2019,140730000001,134358.0,134358,86400
21973,2019,140730000002,199938.0,208200,110560
21974,2019,140730000005,431000.0,431000,400000
21977,2019,140730000011,186464.0,200979,46240
21978,2019,140730000012,199592.0,204157,95040
21979,2019,140730000013,213311.0,213311,101440
21981,2019,140740000002,388751.0,419500,404000
21982,2019,140740000005,583000.0,583000,408000
21984,2019,140740000007,467152.0,475000,404000
21985,2019,140740000009,463698.0,486000,404000
21987,2019,140750000005,445500.0,445500,404000
21988,2019,140750000007,505300.0,505300,404000
21989,2019,140750000008,464931.0,464931,404000
21991,2019,140760000001,584614.0,602663,400000
21992,2019,140760000006,422018.0,422018,400000
21993,2019,140760000007,506300.0,506300,400000
22002,2019,140770000012,401000.0,401000,400000
23488,2019,141450000015,559315.0,559315,559215
23492,2019,141450000046,495385.0,495385,187500
23493,2019,141450000051,471974.0,471974,187500
23494,2019,141450000052,574999.0,574999,187500
23495,2019,141450000055,574256.0,574256,196875
23497,2019,141450000058,975000.0,975000,449190
23499,2019,141450000062,681169.0,681169,187500
23500,2019,141450000064,686366.0,686366,187500
23501,2019,141450000066,686366.0,686366,187500
23502,2019,141450000068,523118.0,523118,187500
23503,2019,141450000070,441346.0,441346,247500
23507,2019,141450000086,599070.0,599070,196650
23508,2019,141450000087,542810.0,542810,196875
23509,2019,141450000088,507482.0,507482,196875
23510,2019,141450000089,546834.0,546834,196875
23511,2019,141450000090,594921.0,594921,193125
23512,2019,141450000091,593977.0,593977,196875
23513,2019,141450000092,524700.0,571340,196875
23514,2019,141450000093,515000.0,515000,196875
23515,2019,141450000094,595798.0,595798,196875
23516,2019,141450000095,550000.0,557099,187500
23517,2019,141450000096,681169.0,681169,187500
23518,2019,141450000097,697563.0,697563,187500
23519,2019,141450000098,686366.0,686366,187500
23521,2019,141450000100,666180.0,666180,225000
23530,2019,141470010013,434485.0,434485,346500
23538,2019,141480000006,453248.0,453248,350000
23540,2019,141480000009,508075.0,508075,371000
23541,2019,141480000010,484825.0,484825,350000
23542,2019,141480000011,508056.0,508056,350000
23544,2019,141480000016,438541.0,438541,350000
23547,2019,141490000002,466480.0,466480,393750
23548,2019,141490000003,653736.0,653736,393750
23549,2019,141490000004,840000.0,840000,437500
23550,2019,141490000005,468000.0,468000,350000
23553,2019,141490000009,805403.0,805403,350000
23554,2019,141490000010,361981.0,361981,328972
23555,2019,141490000011,566732.0,566732,393750
23558,2019,141490000016,628420.0,628420,357000
23561,2019,141500000001,455570.0,455570,390915
23562,2019,141500000003,363323.0,363323,350000
23565,2019,141500000016,363173.0,363173,296170
23568,2019,141540000002,431626.0,431626,350000
23569,2019,141540000003,531834.0,531834,346371
23570,2019,141540000004,407441.0,407441,350000
